timestamp,currentCharge,application_workload,brightness,gps,power_saving,refresh_rate
1709517229,2134650,none,0,0,0,60
1709517350,2134650,none,0,0,0,120
1709517471,2134650,none,0,0,1,60
1709517591,2134650,none,0,0,1,120
1709517712,2134650,none,0,1,0,60
1709517833,2134650,none,0,1,0,120
1709517954,2134650,none,0,1,1,60
1709518075,2134650,none,0,1,1,120
1709518195,2134650,none,20,0,0,60
1709518316,2134650,none,20,0,0,120
1709518437,2112180,none,20,0,1,60
1709518558,2112180,none,20,0,1,120
1709518679,2112180,none,20,1,0,60
1709518800,2112180,none,20,1,0,120
1709518921,2112180,none,20,1,1,60
1709519042,2112180,none,20,1,1,120
1709519162,2112180,none,40,0,0,60
1709519283,2089710,none,40,0,0,120
1709519404,2089710,none,40,0,1,60
1709519525,2089710,none,40,0,1,120
1709519645,2089710,none,40,1,0,60
1709519766,2089710,none,40,1,0,120
1709519887,2089710,none,40,1,1,60
1709520008,2089710,none,40,1,1,120
1709520129,2067240,none,60,0,0,60
1709520250,2067240,none,60,0,0,120
1709520370,2067240,none,60,0,1,60
1709520491,2044770,none,60,0,1,120
1709520612,2044770,none,60,1,0,60
1709520733,2044770,none,60,1,0,120
1709520854,2044770,none,60,1,1,60
1709520975,2044770,none,60,1,1,120
1709521096,2022300,none,80,0,0,60
1709521217,2022300,none,80,0,0,120
1709521338,2022300,none,80,0,1,60
1709521459,2022300,none,80,0,1,120
1709521580,1999830,none,80,1,0,60
1709521700,1999830,none,80,1,0,120
1709521821,1977360,none,80,1,1,60
1709521943,1977360,none,80,1,1,120
1709522063,1977360,none,100,0,0,60
1709522184,1977360,none,100,0,0,120
1709522305,1954890,none,100,0,1,60
1709522426,1954890,none,100,0,1,120
1709522547,1954890,none,100,1,0,60
1709522668,1932420,none,100,1,0,120
1709522789,1932420,none,100,1,1,60
1709522910,1909950,none,100,1,1,120
1709523031,1909950,game,0,0,0,60
1709523153,1909950,game,0,0,0,120
1709523274,1887480,game,0,0,1,60
1709523394,1865010,game,0,0,1,120
1709523515,1865010,game,0,1,0,60
1709523636,1865010,game,0,1,0,120
1709523756,1865010,game,0,1,1,60
1709523877,1842540,game,0,1,1,120
1709523998,1820070,game,20,0,0,60
1709524119,1820070,game,20,0,0,120
1709524239,1820070,game,20,0,1,60
1709524360,1797600,game,20,0,1,120
1709524480,1797600,game,20,1,0,60
1709524601,1775130,game,20,1,0,120
1709524722,1752660,game,20,1,1,60
1709524842,1730190,game,20,1,1,120
1709524963,1730190,game,40,0,0,60
1709525084,1730190,game,40,0,0,120
1709525204,1707720,game,40,0,1,60
1709525325,1707720,game,40,0,1,120
1709525445,1685250,game,40,1,0,60
1709525566,1662780,game,40,1,0,120
1709525687,1662780,game,40,1,1,60
1709525807,1640310,game,40,1,1,120
1709525928,1640310,game,60,0,0,60
1709526049,1617840,game,60,0,0,120
1709526170,1595370,game,60,0,1,60
1709526291,1595370,game,60,0,1,120
1709526411,1572900,game,60,1,0,60
1709526532,1550430,game,60,1,0,120
1709526652,1527960,game,60,1,1,60
1709526773,1505490,game,60,1,1,120
1709526894,1505490,game,80,0,0,60
1709527014,1483020,game,80,0,0,120
1709527135,1483020,game,80,0,1,60
1709527256,1460550,game,80,0,1,120
1709527376,1438080,game,80,1,0,60
1709527497,1415610,game,80,1,0,120
1709527618,1415610,game,80,1,1,60
1709527738,1393140,game,80,1,1,120
1709527859,1370670,game,100,0,0,60
1709527980,1348200,game,100,0,0,120
1709528100,1325730,game,100,0,1,60
1709528221,1303260,game,100,0,1,120
1709528342,1303260,game,100,1,0,60
1709528462,1280790,game,100,1,0,120
1709528583,1258320,game,100,1,1,60
1709528704,1258320,game,100,1,1,120
1709528824,1235850,video720,0,0,0,60
1709528945,1213380,video720,0,0,0,120
1709529066,1213380,video720,0,0,1,60
1709529187,1213380,video720,0,0,1,120
1709529307,1213380,video720,0,1,0,60
1709529428,1213380,video720,0,1,0,120
1709529549,1213380,video720,0,1,1,60
1709529670,1213380,video720,0,1,1,120
1709529790,1190910,video720,20,0,0,60
1709529911,1190910,video720,20,0,0,120
1709530032,1190910,video720,20,0,1,60
1709530153,1190910,video720,20,0,1,120
1709530274,1190910,video720,20,1,0,60
1709530394,1168440,video720,20,1,0,120
1709530515,1168440,video720,20,1,1,60
1709530636,1168440,video720,20,1,1,120
1709530757,1168440,video720,40,0,0,60
1709530878,1145970,video720,40,0,0,120
1709530999,1145970,video720,40,0,1,60
1709531119,1145970,video720,40,0,1,120
1709531240,1123500,video720,40,1,0,60
1709531361,1123500,video720,40,1,0,120
1709531482,1123500,video720,40,1,1,60
1709531603,1101030,video720,40,1,1,120
1709531723,1101030,video720,60,0,0,60
1709531844,1078560,video720,60,0,0,120
1709531965,1078560,video720,60,0,1,60
1709532086,1078560,video720,60,0,1,120
1709532206,1078560,video720,60,1,0,60
1709532327,1056090,video720,60,1,0,120
1709532448,1056090,video720,60,1,1,60
1709532569,1033620,video720,60,1,1,120
1709532690,1033620,video720,80,0,0,60
1709532811,1011150,video720,80,0,0,120
1709532932,1011150,video720,80,0,1,60
1709533053,988680,video720,80,0,1,120
1709533173,988680,video720,80,1,0,60
1709533294,966210,video720,80,1,0,120
1709533415,966210,video720,80,1,1,60
1709533535,943740,video720,80,1,1,120
1709533656,943740,video720,100,0,0,60
1709533777,921270,video720,100,0,0,120
1709533898,921270,video720,100,0,1,60
1709534018,921270,video720,100,0,1,120
1709534139,898800,video720,100,1,0,60
1709534260,876330,video720,100,1,0,120
1709534380,876330,video720,100,1,1,60
1709534501,853860,video720,100,1,1,120
1709534622,853860,video1080,0,0,0,60
1709534743,853860,video1080,0,0,0,120
1709534864,853860,video1080,0,0,1,60
1709534984,831390,video1080,0,0,1,120
1709535105,831390,video1080,0,1,0,60
1709535226,831390,video1080,0,1,0,120
1709535347,831390,video1080,0,1,1,60
1709535467,808920,video1080,0,1,1,120
1709535588,808920,video1080,20,0,0,60
1709535709,786450,video1080,20,0,0,120
1709535829,786450,video1080,20,0,1,60
1709535950,786450,video1080,20,0,1,120
1709536071,786450,video1080,20,1,0,60
1709536191,786450,video1080,20,1,0,120
1709536312,763980,video1080,20,1,1,60
1709536433,763980,video1080,20,1,1,120
1709536553,763980,video1080,40,0,0,60
1709536674,741510,video1080,40,0,0,120
1709536795,741510,video1080,40,0,1,60
1709536916,719040,video1080,40,0,1,120
1709537036,719040,video1080,40,1,0,60
1709537157,719040,video1080,40,1,0,120
1709537278,719040,video1080,40,1,1,60
1709537400,719040,video1080,40,1,1,120
1709537521,696570,video1080,60,0,0,60
1709537642,696570,video1080,60,0,0,120
1709537762,674100,video1080,60,0,1,60
1709537883,674100,video1080,60,0,1,120
1709538004,674100,video1080,60,1,0,60
1709538124,651630,video1080,60,1,0,120
1709538245,651630,video1080,60,1,1,60
1709538245,2044770,video1080,60,1,1,60
1709576758,2044770,video1080,60,1,1,120
1709576879,2044770,video1080,80,0,0,60
1709577000,2022300,video1080,80,0,0,120
1709577121,2022300,video1080,80,0,1,60
1709577242,2022300,video1080,80,0,1,120
1709577362,2022300,video1080,80,1,0,60
1709577483,1999830,video1080,80,1,0,120
1709577604,1999830,video1080,80,1,1,60
1709577725,1977360,video1080,80,1,1,120
1709577845,1977360,video1080,100,0,0,60
1709577966,1954890,video1080,100,0,0,120
1709578087,1954890,video1080,100,0,1,60
1709578208,1932420,video1080,100,0,1,120
1709578328,1932420,video1080,100,1,0,60
1709578449,1932420,video1080,100,1,0,120
1709578570,1909950,video1080,100,1,1,60
1709578691,1909950,video1080,100,1,1,120
1709578811,1887480,browsing,0,0,0,60
1709578932,1887480,browsing,0,0,0,120
1709579053,1887480,browsing,0,0,1,60
1709579174,1865010,browsing,0,0,1,120
1709579294,1865010,browsing,0,1,0,60
1709579415,1865010,browsing,0,1,0,120
1709579536,1865010,browsing,0,1,1,60
1709579657,1865010,browsing,0,1,1,120
1709579778,1842540,browsing,20,0,0,60
1709579898,1842540,browsing,20,0,0,120
1709580019,1842540,browsing,20,0,1,60
1709580140,1842540,browsing,20,0,1,120
1709580261,1842540,browsing,20,1,0,60
1709580382,1820070,browsing,20,1,0,120
1709580503,1820070,browsing,20,1,1,60
1709580623,1820070,browsing,20,1,1,120
1709580744,1820070,browsing,40,0,0,60
1709580865,1797600,browsing,40,0,0,120
1709580986,1797600,browsing,40,0,1,60
1709581107,1797600,browsing,40,0,1,120
1709581227,1797600,browsing,40,1,0,60
1709581348,1775130,browsing,40,1,0,120
1709581469,1775130,browsing,40,1,1,60
1709581590,1752660,browsing,40,1,1,120
1709581710,1752660,browsing,60,0,0,60
1709581831,1752660,browsing,60,0,0,120
1709581952,1730190,browsing,60,0,1,60
1709582073,1730190,browsing,60,0,1,120
1709582194,1707720,browsing,60,1,0,60
1709582314,1707720,browsing,60,1,0,120
1709582435,1685250,browsing,60,1,1,60
1709582556,1685250,browsing,60,1,1,120
1709582677,1662780,browsing,80,0,0,60
1709582798,1662780,browsing,80,0,0,120
1709582918,1640310,browsing,80,0,1,60
1709583039,1640310,browsing,80,0,1,120
1709583161,1640310,browsing,80,1,0,60
1709583282,1617840,browsing,80,1,0,120
1709583403,1617840,browsing,80,1,1,60
1709583524,1595370,browsing,80,1,1,120
1709583644,1595370,browsing,100,0,0,60
1709583765,1572900,browsing,100,0,0,120
1709583886,1550430,browsing,100,0,1,60
1709584007,1550430,browsing,100,0,1,120
1709584128,1527960,browsing,100,1,0,60
1709584249,1527960,browsing,100,1,0,120
1709584369,1527960,browsing,100,1,1,60
